Rk,Name,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP,Year,Team,Wins,Losses,Previous TS%,Previous TRB%,Previous AST%,Previous BPM,Previous VORP,Previous WS,Previous WS/48,Rookie,Previous VORP Team Rank,Previous TS% Team Rank,Previous TRB% Team Rank,Previous AST% Team Rank,Previous BPM Team Rank,Previous WS Team Rank,Previous WS/48 Team Rank,Top 5 Previous VORP Team Rank,Top 5 Previous TS% Team Rank,Top 5 Previous TRB% Team Rank,Top 5 Previous AST% Team Rank,Top 5 Previous BPM Team Rank,Top 5 Previous WS Team Rank,Top 5 Previous WS/48 Team Rank
11,Rick Brunson,27,37,289,7.0,0.456,0.18600000000000005,0.257,1.3,9.6,5.5,26.9,1.7,0.3,28.5,17.9,,-0.4,0.3,-0.1,-0.018000000000000002,,-4.8,0.0,-4.8,-0.2,2000,NYK,50,32,,,,,,,,,11.0,11.0,11.0,11.0,11.0,11.0,11.0,False,False,False,False,False,False,False
12,Andrew Lang,33,19,244,10.3,0.44,0.0,0.109,8.0,20.7,14.6,2.0,1.8,1.9,6.9,14.0,,0.0,0.4,0.4,0.086,,-2.8,1.5,-1.3,0.0,2000,NYK,50,32,,,,,,,,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,False,False,False,False,False,False,False
13,DeMarco Johnson,24,5,37,0.5,0.333,0.0,0.0,9.9,12.4,11.2,0.0,1.5,0.0,25.0,15.4,,-0.1,0.0,-0.1,-0.091,,-9.6,-0.7,-10.3,-0.1,2000,NYK,50,32,,,,,,,,,13.0,13.0,13.0,13.0,13.0,13.0,13.0,False,False,False,False,False,False,False
14,David Wingate,36,7,32,-5.0,0.111,0.0,0.0,3.8,3.6,3.7,13.4,1.7,4.8,18.2,16.3,,-0.2,0.0,-0.1,-0.209,,-12.3,0.7,-11.6,-0.1,2000,NYK,50,32,,,,,,,,,14.0,14.0,14.0,14.0,14.0,14.0,14.0,False,False,False,False,False,False,False
15,Mirsad Türkcan,23,7,25,3.8,0.2,0.2,0.0,9.8,36.8,23.7,6.1,4.3,0.0,9.1,20.9,,-0.1,0.1,-0.1,-0.101,,-8.9,0.8,-8.1,0.0,2000,NYK,50,32,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,False,False,False,False,False,False,False
16,Etdrick Bohannon,26,2,5,7.8,0.852,,,24.5,0.0,11.9,0.0,0.0,0.0,53.2,35.6,,0.0,0.0,0.0,-0.049,,-9.8,-5.5,-15.3,0.0,2000,NYK,50,32,,,,,,,,,16.0,16.0,16.0,16.0,16.0,16.0,16.0,False,False,False,False,False,False,False
1,Eric Snow,26,82,2866,12.8,0.482,0.075,0.29600000000000004,1.6,8.6,5.0,32.7,2.5,0.2,19.4,12.8,,2.4,3.7,6.1,0.102,,-1.3,1.4,0.1,1.5,2000,PHI,49,33,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
2,Allen Iverson,24,70,2853,20.0,0.496,0.151,0.358,2.7,7.7,5.2,23.0,2.6,0.1,10.3,34.4,,3.3,3.6,6.9,0.116,,3.4,-0.2,3.2,3.8,2000,PHI,49,33,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,True,True,True,True,True,True,True
3,George Lynch,29,75,2416,13.7,0.498,0.056,0.284,9.7,17.0,13.3,8.9,2.6,1.2,14.2,15.3,,1.6,4.2,5.8,0.116,,-0.6,1.6,1.0,1.8,2000,PHI,49,33,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,True,True,True,True,True,True,True
4,Tyrone Hill,31,68,2155,14.6,0.529,0.002,0.395,11.1,21.1,16.0,4.0,1.5,0.9,13.9,18.2,,2.2,3.5,5.7,0.128,,-1.0,-0.4,-1.4,0.3,2000,PHI,49,33,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,True,True,True,True,True,True,True
