Year,Team,With Top 5 Players,Total VORP,Total TS%,Total TRB%,Total AST%,Total BPM,Total WS,Total WS/48,Wins,Losses,Total Games,Win %
2007,PHI,True,2.2399999999999998,58.099999999999994,15.940000000000001,22.840000000000003,0.9800000000000001,6.659999999999999,0.125,35,47,82,0.4268292682926829
2007,PHO,True,3.3,59.199999999999996,15.220000000000002,25.059999999999995,2.54,9.34,0.16920000000000002,61,21,82,0.7439024390243902
2007,POR,True,0.38,55.64,14.62,17.9,-1.06,2.5,0.08660000000000001,32,50,82,0.3902439024390244
2007,SAC,True,1.9599999999999997,57.220000000000006,12.420000000000002,18.880000000000003,1.14,6.94,0.13620000000000002,33,49,82,0.4024390243902439
2007,SAS,True,3.1199999999999997,58.540000000000006,14.62,22.880000000000003,4.220000000000001,8.08,0.1794,58,24,82,0.7073170731707317
2007,SEA,True,2.0,58.43999999999999,14.420000000000002,19.36,1.1,5.24,0.1136,31,51,82,0.3780487804878049
2007,TOR,True,1.28,54.96,13.279999999999998,22.800000000000004,-0.08,4.9,0.0998,47,35,82,0.573170731707317
2007,UTA,True,2.34,55.76000000000001,14.299999999999997,20.8,2.02,6.319999999999999,0.1362,51,31,82,0.6219512195121951
2007,WAS,True,2.3600000000000003,55.36000000000001,14.14,17.6,1.08,7.459999999999999,0.12840000000000001,41,41,82,0.5
2008,ATL,True,1.92,59.199999999999996,14.24,21.5,1.7400000000000002,4.84,0.1142,37,45,82,0.45121951219512196
2008,BOS,True,2.72,57.18,16.32,24.44,3.04,6.08,0.14020000000000002,66,16,82,0.8048780487804879
2008,CHA,True,1.8599999999999999,59.12,14.319999999999999,22.96,1.56,5.06,0.13499999999999998,32,50,82,0.3902439024390244
2008,CHI,True,3.06,55.96,16.199999999999996,21.06,2.48,8.940000000000001,0.1568,33,49,82,0.4024390243902439
2008,CLE,True,3.1400000000000006,55.16,17.459999999999997,21.800000000000004,2.7800000000000002,8.319999999999999,0.16860000000000003,45,37,82,0.5487804878048781
2008,DAL,True,4.3,59.63999999999999,16.740000000000002,26.82,4.48,10.34,0.189,51,31,82,0.6219512195121951
2008,DEN,True,2.1199999999999997,59.15999999999999,15.680000000000001,27.940000000000005,1.9,5.98,0.14020000000000002,50,32,82,0.6097560975609756
2008,DET,True,2.5999999999999996,58.43999999999999,15.719999999999999,21.099999999999998,2.1,7.94,0.1706,59,23,82,0.7195121951219512
2008,GSW,True,1.4600000000000002,57.14,13.559999999999999,22.940000000000005,1.12,4.880000000000001,0.1192,48,34,82,0.5853658536585366
2008,HOU,True,3.04,59.24,19.279999999999998,25.119999999999997,3.1399999999999997,7.6,0.17959999999999998,55,27,82,0.6707317073170732
2008,IND,True,1.2200000000000002,55.16000000000001,15.2,20.9,0.44000000000000006,4.34,0.11240000000000001,36,46,82,0.43902439024390244
2008,LAC,True,2.0799999999999996,58.35999999999999,14.4,34.339999999999996,1.3,6.4799999999999995,0.12319999999999998,23,59,82,0.2804878048780488
2008,LAL,True,2.6399999999999997,58.5,14.940000000000001,20.46,2.52,6.56,0.15960000000000002,57,25,82,0.6951219512195121
2008,MEM,True,1.4,61.9,14.779999999999998,22.22,3.1999999999999997,4.12,0.1274,22,60,82,0.2682926829268293
2008,MIA,True,2.7399999999999998,58.660000000000004,14.719999999999999,26.78,3.04,7.18,0.1492,15,67,82,0.18292682926829268
